experiment_id,model_name,episodes,wins,winrate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,final_epsilon,epsilon_start,scenario,algorithm,timestamp
exp_001,Model_1,8000,902,22.55,148.05,459.702,21.361,7.103,8.864,4.698,0.3,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_002,Model_2,8000,428,14.267,56.933,384.706,22.733,5.922,9.11,5.414,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_003,Model_3,8000,324,10.8,18.8,341.418,23.283,5.213,9.099,5.104,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_004,Model_4,8000,336,11.2,23.2,346.903,23.268,5.226,9.536,5.614,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_005,Model_5,8000,350,11.667,28.333,353.125,23.217,5.244,9.717,5.421,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_006,Model_6,8000,880,22.0,142.0,455.671,21.348,7.144,8.399,4.125,0.3,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_007,Model_7,8000,914,22.85,151.35,461.853,21.235,7.205,8.523,4.21,0.3,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_008,Model_8,8000,351,11.7,28.7,353.562,23.211,5.198,9.707,4.943,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_009,Model_9,8000,317,10.567,16.233,338.152,23.361,5.072,9.489,5.315,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
exp_010,Model_10,8000,345,11.5,26.5,350.924,23.203,5.266,9.374,5.003,0.35,0.5,tiny,q_learning,2025-07-06_16-58-22
