experiment_id,model_name,test_episodes,training_episodes,wins,detections,winrate,detection_rate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,avg_detected_steps,std_detected_steps,avg_max_steps_steps,std_max_steps_steps,current_epsilon,data_type,scenario,algorithm,timestamp
test_01000,Model_test_1000,250.0,1000,24,0,9.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,39,0,15.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,26,0,10.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,97,0,38.8,0.0,1000.0,0.0,12.0,0.0,12.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_05000,Model_test_5000,250.0,5000,191,0,76.4,0.0,1000.0,0.0,55.0,0.0,55.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_06000,Model_test_6000,250.0,6000,250,0,100.0,0.0,1000.0,0.0,7.0,0.0,7.0,0.0,,,,,0.30000000000000004,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,29,0,11.6,0.0,1000.0,0.0,81.0,0.0,81.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,26,0,10.4,0.0,1000.0,0.0,34.0,0.0,34.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,37,0,14.8,0.0,1000.0,0.0,43.0,0.0,43.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,69,0,27.6,0.0,1000.0,0.0,63.0,0.0,63.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
